id;title;path
0017B335;6D：分式的化简求值;"/浙教新版/七年级下/第5章 分式/5.4 分式的加减/6D：分式的化简求值"
0020C060;"26.2 特殊二次函数的图像";"/沪教版/九年级上/第二十六章 二次函数/第2节 二次函数的图像/26.2 特殊二次函数的图像"
004832F4;T8：解直角三角形的应用;"/浙教新版/九年级下/第1章 解直角三角形/1.3 解直角三角形/T8：解直角三角形的应用"
0052D435;"6.3 等可能事件的概率";"/北师大版/七年级下/第6章 概率初步/6.3 等可能事件的概率"
00664F47;U2：简单组合体的三视图;"/浙教新版/九年级下/第3章 三视图与表面展开图/3.2 简单几何体的三视图/U2：简单组合体的三视图"
00B2EEAB;"9.5 平均数";"/北京课改新版/七年级下/第9章 数据的收集与表示/9.5 平均数"
00BFA1CF;17：倒数;"/浙教新版/七年级上/第2章 有理数的运算/2.4 有理数的除法/17：倒数"
00EFC450;"2.3 等腰三角形的性质定理";"/浙教新版/八年级上/第2章 特殊三角形/2.3 等腰三角形的性质定理"
00F2F228;"15.3 平行四边形的性质与判定";"/北京课改新版/八年级下/第15章 四边形/15.3 平行四边形的性质与判定"
00F8F742;"1.2-3 矩形的性质与判定(3)";"/北师大版/九年级上/第1章 特殊的平行四边形/1.2 矩形的性质与判定/1.2-3 矩形的性质与判定(3)"
01047938;28：实数的性质;"/浙教新版/七年级上/第3章 实数/3.2 实数/28：实数的性质"
015175B5;"22.1.3-2 二次函数y=a（x-h）²的图像和性质";"/人教新版/九年级上/第22章 二次函数/22.1 二次函数的图象和性质/22.1.3 二次函数y=a（x-h）²+k的图像和性质/22.1.3-2 二次函数y=a（x-h）²的图像和性质"
0156A62C;"探究活动 平面图形的设计";"/沪教版/七年级上/第十一章 图形的运动/探究活动 平面图形的设计"
0175DABF;"5.2 平面直角坐标系";"/苏科新版/八年级上/第5章 平面直角坐标系/5.2 平面直角坐标系"
018C5DFE;"6.1 线段、射线、直线";"/苏科新版/七年级上/第6章 平面图形的认识(一)/6.1 线段、射线、直线"
01A3D7AE;"第十四章 三角形";"/沪教版/七年级下/第十四章 三角形"
01B4360B;"14.2 函数的表示法";"/北京课改新版/八年级下/第14章 一次函数/14.2 函数的表示法"
01BD2963;"7.7-1 几种简单几何图形及其推理(1)";"/北京课改新版/七年级下/第7章 观察、猜想与证明/7.7 几种简单几何图形及其推理/7.7-1 几种简单几何图形及其推理(1)"
01F9B2A8;"第1章 有理数";"/北京课改新版/七年级上/第1章 有理数"
021216A3;"第6章 平行四边形";"/北师大版/八年级下/第6章 平行四边形"
0224048B;"第2节 百分比";"/沪教版/六年级上/第三章 比和比例/第2节 百分比"
02476F3B;"14.1.4-2 多项式与多项式相乘";"/人教新版/八年级上/第14章 整式的乘法与因式分解/14.1 整式的乘法/14.1.4 整式的乘法/14.1.4-2 多项式与多项式相乘"
02663ABA;"5.2 函数";"/浙教新版/八年级上/第5章 一次函数/5.2 函数"
02676864;八年级下;/沪教版/八年级下
026D32E8;"2.5-2 有理数的加法与减法";"/苏科新版/七年级上/第2章 有理数/2.5 有理数的加法与减法/2.5-2 有理数的加法与减法"
02755957;G9：根据实际问题列反比例函数关系式;"/浙教新版/八年级下/第6章 反比例函数/6.3 反比例函数的应用/G9：根据实际问题列反比例函数关系式"
028607C9;"6.2 条形统计图和折线统计图";"/浙教新版/七年级下/第6章 数据与统计图表/6.2 条形统计图和折线统计图"
02938FA7;E1：常量与变量;"/浙教新版/八年级上/第5章 一次函数/5.1 常量与变量/E1：常量与变量"
02B3754B;53：因式分解-提公因式法;"/浙教新版/七年级下/第4章 因式分解/4.2 提取公因式法/53：因式分解-提公因式法"
02F48A5E;"第4节 乘法公式";"/沪教版/七年级上/第九章 整式/第4节 乘法公式"
03178D18;"9.8 积的乘方";"/沪教版/七年级上/第九章 整式/第3节 整式的乘法/9.8 积的乘方"
03450CDB;"4.2-3 两点之间的距离";"/人教新版/七年级上/第4章 几何图形初步/4.2 直线、射线、线段/4.2-3 两点之间的距离"
03810EA7;"4.2 代数式";"/浙教新版/七年级上/第4章 代数式/4.2 代数式"
03926CFB;"3.6-1 直线与圆的位置关系(1)";"/北师大版/九年级下/第3章 圆/3.6 直线与圆的位置关系/3.6-1 直线与圆的位置关系(1)"
